Model,CL,Violations,Violation Rate (%),Kupiec LR,Kupiec p,Christoffersen LR,Christoffersen p,ES Ratio
EGARCH,0.95,32,3.9800995024875623,1.8873302194923554,0.16950335398246474,4.20411344999826,0.04032604828153674,1.0977353351237464
EGARCH,0.99,9,1.1194029850746268,0.11147720751472434,0.7384685831763723,9.029848798273505,0.0026560645017216222,1.1128501707265839
GARCH,0.95,25,3.109452736318408,6.95094220376123,0.008377509929021532,4.079115279518987,0.043416385976773886,1.1054735884190021
GARCH,0.99,6,0.7462686567164178,0.5731885748989072,0.4489946364172318,4.624730236552978,0.03151421656922038,1.1519202813247442
GJR-GARCH,0.95,32,3.9800995024875623,1.8873302194923554,0.16950335398246474,4.20411344999826,0.04032604828153674,1.1047524985244137
GJR-GARCH,0.99,9,1.1194029850746268,0.11147720751472434,0.7384685831763723,2.9787199259598225,0.08436597210416696,1.105294221902974
Hybrid,0.95,42,5.223880597014925,0.0836655876361192,0.7723900385585295,0.020170741287756755,0.8870612579428769,0.9496795083661123
Hybrid,0.99,6,0.7462686567164178,0.5731885748989072,0.4489946364172318,0.0903396225222508,0.7637458391469091,1.0254533288344663
