Model,RMSE,MAE,MAPE,R2,Adj. R2,Directional Acc. (%),Category
EGARCH,0.009639405615474996,0.0074427007836872635,4.621273415134168,-0.27738482044505686,-0.2837797381944689,49.25373134328358,Classical GARCH-family
Hybrid,0.00980130085506019,0.00723393026145033,4.341403180620978,-0.3206528743684214,-0.3322666559269376,53.85572139303483,Hybrid ML-GARCH
GJR-GARCH,0.00997594923281529,0.0076840659937102785,4.784263771375108,-0.36813735604279074,-0.3749866043834307,48.88059701492538,Classical GARCH-family
GARCH,0.010874139563463314,0.008556121022630554,5.264629247974918,-0.6255900998711856,-0.6316860627457026,49.37810945273632,Classical GARCH-family
