Date,AAPL,BAC,C,CSCO,IBM,JPM,MSFT,NVDA,^GSPC,^IXIC
2010-01-04,6.406480312347412,12.038229942321777,24.979114532470703,15.889598846435547,71.93885803222656,28.279212951660156,23.027507781982422,0.4232904613018036,1132.989990234375,2308.419921875
2010-01-05,6.417558670043945,12.429533004760742,25.9342041015625,15.818801879882812,71.06981658935547,28.826963424682617,23.03494644165039,0.429471492767334,1136.52001953125,2308.7099609375
2010-01-06,6.315475940704346,12.575311660766602,26.74234390258789,15.715840339660645,70.60814666748047,28.9853515625,22.893579483032227,0.4322187304496765,1137.1400146484375,2301.090087890625
2010-01-07,6.3038010597229,12.989630699157715,26.815818786621094,15.786628723144531,70.36373138427734,29.55951690673828,22.655488967895508,0.42374834418296814,1141.68994140625,2300.050048828125
2010-01-08,6.345711708068848,12.874541282653809,26.375017166137695,15.870293617248535,71.06981658935547,29.48693084716797,22.811735153198242,0.4246639311313629,1144.97998046875,2317.169921875
2010-01-11,6.289732456207275,12.989630699157715,26.668882369995117,15.825239181518555,70.32572174072266,29.38793182373047,22.52157211303711,0.4187118411064148,1146.97998046875,2312.409912109375
2010-01-12,6.2181854248046875,12.552292823791504,25.860734939575195,15.57425594329834,70.88516235351562,28.701587677001953,22.37276840209961,0.4045182168483734,1136.219970703125,2282.31005859375
2010-01-13,6.305896759033203,12.751776695251465,25.713794708251953,15.857421875,70.73307037353516,29.203125,22.581090927124023,0.41001245379447937,1145.6800537109375,2307.89990234375
2010-01-14,6.269375801086426,12.905229568481445,25.78726577758789,16.056921005249023,71.86280059814453,29.493528366088867,23.03494644165039,0.4036025404930115,1148.4599609375,2316.739990234375
2010-01-15,6.164602279663086,12.475568771362305,25.126047134399414,15.702962875366211,71.57494354248047,28.826963424682617,22.960546493530273,0.39169809222221375,1136.030029296875,2287.989990234375
2010-01-19,6.437313556671143,12.521607398986816,26.007665634155273,15.992566108703613,72.85677337646484,28.56298828125,23.139110565185547,0.39902395009994507,1150.22998046875,2320.39990234375
2010-01-20,6.338228702545166,12.652031898498535,25.4199275970459,15.70940113067627,70.7439193725586,28.642192840576172,22.75965118408203,0.3974214792251587,1138.0400390625,2291.25
2010-01-21,6.228662967681885,11.86943531036377,24.024036407470703,15.432672500610352,70.06502532958984,26.754703521728516,22.328126907348633,0.39032459259033203,1116.47998046875,2265.699951171875
2010-01-22,5.919729709625244,11.432097434997559,23.877094268798828,14.782666206359863,68.1640396118164,25.843952178955078,21.546897888183594,0.3768177926540375,1091.760009765625,2205.2900390625
2010-01-25,6.078986644744873,11.493480682373047,23.73016357421875,14.795538902282715,68.50077056884766,25.876953125,21.814748764038086,0.38322779536247253,1096.780029296875,2210.800048828125
2010-01-26,6.164901256561279,11.332358360290527,23.142414093017578,14.737624168395996,68.2997817993164,25.368791580200195,21.94866180419922,0.37109455466270447,1092.1700439453125,2203.72998046875
2010-01-27,6.222975254058838,11.654601097106934,23.509756088256836,14.898508071899414,68.61482238769531,25.956151962280273,22.075153350830078,0.38116738200187683,1097.5,2221.409912109375
2010-01-28,5.965830326080322,11.792706489562988,23.803630828857422,14.49306869506836,67.21351623535156,26.055147171020508,21.695703506469727,0.3683473765850067,1084.530029296875,2179.0
2010-01-29,5.749396324157715,11.646932601928711,24.391380310058594,14.460883140563965,66.47486877441406,25.698762893676758,20.966569900512695,0.35232236981391907,1073.8699951171875,2147.35009765625
2010-02-01,5.829324722290039,11.831070899963379,24.538307189941406,14.628211975097656,67.71318817138672,26.154142379760742,21.137691497802734,0.3793359398841858,1089.18994140625,2171.199951171875
2010-02-02,5.863152503967285,11.969179153442383,25.052581787109375,14.814846992492676,68.18032836914062,26.761293411254883,21.17489242553711,0.38322779536247253,1103.3199462890625,2190.06005859375
2010-02-03,5.9640350341796875,11.9154691696167,24.758705139160156,14.847026824951172,68.25090789794922,26.589712142944336,21.301368713378906,0.3864328861236572,1097.280029296875,2190.909912109375
2010-02-04,5.749098300933838,11.31701374053955,23.362821578979492,14.90494155883789,66.80618286132812,25.30938720703125,20.713594436645508,0.3639976382255554,1063.1099853515625,2125.429931640625
2010-02-05,5.8511762619018555,11.508827209472656,23.656686782836914,15.252470970153809,67.08861541748047,25.27639389038086,20.847517013549805,0.3713235557079315,1066.18994140625,2141.1201171875
