Date,AAPL,BAC,C,CSCO,IBM,JPM,MSFT,NVDA,^GSPC,^IXIC
2010-01-05,0.001728046622698313,0.03198768033464707,0.03752213605530101,-0.004465508542968024,-0.01215362341703163,0.019184973336190313,0.0003226502666417994,0.014497104031239924,0.003110831966759719,0.0001256360857255413
2010-01-06,-0.016034655054980352,0.01165986079182493,0.030686009923354875,-0.006530505598005362,-0.0065169788896227605,0.00547920580318952,-0.00615547613381848,0.0063764829497599635,0.0005453718878234133,-0.0033059481566001985
2010-01-07,-0.0018502496063801637,0.03241598149213018,0.0027433159426221367,0.004494156654576671,-0.0034679023021426075,0.019615168028459445,-0.010453747144817591,-0.019792448663176965,0.003993218354654243,-0.00045207885407066127
2010-01-08,0.006626392793391639,-0.008899214209464955,-0.01657479866717483,0.0052855580613671025,0.009984881191765174,-0.0024586099318691843,0.0068726025013570195,0.0021590570756878855,0.0028775830750962126,0.007415696722659492
2010-01-11,-0.008860727516032911,0.00889921420946505,0.011080262694275166,-0.0028422315691392945,-0.010525215090473026,-0.0033629051420786243,-0.012802080219841774,-0.014115431285435291,0.0017452316285846302,-0.0020563470611378205
2010-01-12,-0.011440095571682204,-0.03424775784997948,-0.030771569267205864,-0.015987213851719462,0.007923410203756339,-0.023632659057268933,-0.006628918124797111,-0.03448647201436441,-0.00942544643894456,-0.01310211908389644
2010-01-13,0.014006598244577452,0.015767413727600935,-0.005697889620688748,0.018018357884929104,-0.0021480239249221066,0.01732506025517274,0.009268348453836128,0.013491128795552598,0.008291456333360418,0.011149864200930231
2010-01-14,-0.005808241016914829,0.01196178632824365,0.0028525962419352815,0.012502859374057035,0.015845748048245765,0.009894093395293362,0.019899270668081906,-0.0157571693637116,0.002423486421414183,0.0038230430316464063
2010-01-15,-0.016853095880143908,-0.03386038608556042,-0.025975003685891344,-0.02229079140253591,-0.004013478094464065,-0.022859353350898247,-0.003235101221557831,-0.029938908548833198,-0.010882126301208588,-0.012487322258188927
2010-01-19,0.04328767503647641,0.0036833578329782345,0.03448612460596056,0.018274221146672227,0.017749809218758628,-0.009199680143040121,0.007747078185376887,0.018529765909455122,0.012422151207737096,0.01406584391339803
2010-01-20,-0.01551218192230795,0.01036261115558619,-0.022858579375449165,-0.01786454552212178,-0.02942817224709906,0.002768741576023285,-0.016534500528424822,-0.004024287328221294,-0.010654386601861304,-0.012642022352038628
2010-01-21,-0.01743749533234717,-0.0638516442771363,-0.05647851811273154,-0.017773219855924668,-0.00964327480878805,-0.05630244277871177,-0.019142182260728138,-0.018018700474684693,-0.019126657272987804,-0.011213779761517325
2010-01-22,-0.050870983697454734,-0.037541504209663734,-0.006134449181269486,-0.04303062577978683,-0.027506820621522432,-0.03463330111521335,-0.03561513697681218,-0.035217006949837475,-0.02238977963010898,-0.027024703171886443
2010-01-25,0.026547221119120976,0.005354764023898162,-0.006173277559769099,0.000870095254322215,0.004927959492206569,0.0012751576396876517,0.012354165428254455,0.01686797715490267,0.004587559053796009,0.002495425824775867
2010-01-26,0.014033953200651404,-0.0141177734026967,-0.025079433315968177,-0.003922213283556749,-0.0029380877668732023,-0.01983269931184878,0.006120054908375196,-0.0321726086579668,-0.004212057847785588,-0.0032030926767950135
2010-01-27,0.009376470535545816,0.02803900676833688,0.015748198571308845,0.010857838944695214,0.004601897133716377,0.02288891411937325,0.005746346456545777,0.02678202190737436,0.004868282868611808,0.007990719454768468
2010-01-28,-0.04219979037018722,0.011780603659129417,0.012422557057980375,-0.027591153064694528,-0.02063444412614809,0.0038061735958542452,-0.017338708145291135,-0.03421230411285507,-0.011888125534279259,-0.019276033878640495
